Name,Team,Position,Birthday,Salary
Tomas Satoransky,Chicago Bulls,PG,10/30/91,10000000
Davis Bertans,Washington Wizards,PF,11/12/92,7000000
Amir Coffey,Los Angeles Clippers,G,6/17/97,79568
Ignas Brazdeikis,New York Knicks,SF,1/8/99,898310
Ivan Rabb,New York Knicks,PF,2/4/97,79568
Khris Middleton,Milwaukee Bucks,SF,8/12/91,30603448
Kevin Knox,New York Knicks,PF,8/11/99,4380120
Jeff Green,Utah Jazz,PF,8/28/86,2564753
Ersan Ilyasova,Milwaukee Bucks,PF,5/15/87,7000000
Caleb Swanigan,Sacramento Kings,PF,4/18/97,2033160
Al Horford,Philadelphia 76ers,C,6/3/86,28000000
Clint Capela,Houston Rockets,C,5/18/94,16896552
Georges Niang,Utah Jazz,PF,6/17/93,1645357
Wesley Matthews,Milwaukee Bucks,SF,10/14/86,2564753
Rajon Rondo,Los Angeles Lakers,PG,2/22/86,2564753
Delon Wright,Dallas Mavericks,PG,4/26/92,9473684
Ja Morant,Memphis Grizzlies,PG,8/10/99,8730240
Fred VanVleet,Toronto Raptors,PG,2/25/94,9346153
Brandon Clarke,Memphis Grizzlies,PF,9/19/96,2478840
Miye Oni,Utah Jazz,SG,8/4/97,898310
Julius Randle,New York Knicks,C,11/29/94,18000000
Glenn Robinson III,Golden State Warriors,SF,1/8/94,1882867
Dillon Brooks,Memphis Grizzlies,SF,1/22/96,1618520
Zylan Cheatham,New Orleans Pelicans,SF,11/17/95,79568
Markieff Morris,Detroit Pistons,PF,9/2/89,3200000
Malik Beasley,Denver Nuggets,SG,11/26/96,2731713
John Wall,Washington Wizards,PG,9/6/90,38199000
Vlatko Cancar,Denver Nuggets,SF,4/10/97,898310
Alize Johnson,Indiana Pacers,PF,4/22/96,1416852
Andrew Wiggins,Minnesota Timberwolves,SF,2/23/95,27504630
Khyri Thomas,Detroit Pistons,SG,5/8/96,1416852
Mitchell Robinson,New York Knicks,C,4/1/98,1559712
Damian Lillard,Portland Trail Blazers,PG,7/15/90,29802321
Nassir Little,Portland Trail Blazers,PF,2/11/00,2105520
Mikal Bridges,Phoenix Suns,SF,8/30/96,4161000
Kyle Anderson,Memphis Grizzlies,PF,9/20/93,9073050
Garrett Temple,Brooklyn Nets,PG,5/8/86,4767000
Kyle Korver,Milwaukee Bucks,PF,3/17/81,6004753
Al-Farouq Aminu,Orlando Magic,PF,9/21/90,9258000
James Harden,Houston Rockets,PG,8/26/89,38199000
Derrick White,San Antonio Spurs,PG,7/2/94,1948080
JaKarr Sampson,Indiana Pacers,SF,3/20/93,1737145
Dario Saric,Phoenix Suns,PF,4/8/94,3481985
Ivica Zubac,Los Angeles Clippers,C,3/18/97,6481482
Juan Hernangomez,Denver Nuggets,PF,9/28/95,3321029
Jarrell Brantley,Utah Jazz,PF,6/7/96,79568
Eric Gordon,Houston Rockets,PG,12/25/88,14057730
Naz Reid,Minnesota Timberwolves,F,8/26/99,898310
Justin Robinson,Washington Wizards,PG,10/12/97,898310
Grayson Allen,Memphis Grizzlies,SG,10/8/95,2429400
Trevor Ariza,Sacramento Kings,SF,6/30/85,12200000
Brandon Goodwin,Atlanta Hawks,PG,10/2/95,79568
E'Twaun Moore,New Orleans Pelicans,PG,2/25/89,8664928
Mario Hezonja,Portland Trail Blazers,PF,2/25/95,1737145
Henry Ellenson,Brooklyn Nets,PF,1/13/97,79568
Johnathan Motley,Los Angeles Clippers,PF,5/4/95,79568
James Ennis,Philadelphia 76ers,SF,7/1/90,1882867
Andre Roberson,Oklahoma City Thunder,SF,12/4/91,10740740
Garrison Mathews,Washington Wizards,SG,10/24/96,79568
Jahlil Okafor,New Orleans Pelicans,C,12/15/95,1702486
Mfiondu Kabengele,Los Angeles Clippers,C,8/14/97,1977000
Treveon Graham,Minnesota Timberwolves,SG,10/28/93,1645357
Seth Curry,Dallas Mavericks,PG,8/23/90,7461380
D'Angelo Russell,Golden State Warriors,PG,2/23/96,27285000
Justin Holiday,Indiana Pacers,SG,4/5/89,4767000
Tyrone Wallace,Atlanta Hawks,PG,6/10/94,1620564
Miles Bridges,Charlotte Hornets,SF,3/21/98,3755400
Bogdan Bogdanovic,Sacramento Kings,SG,8/18/92,8529386
Matt Thomas,Toronto Raptors,SG,8/4/94,898310
Jordan Bell,Minnesota Timberwolves,C,1/7/95,1620564
Wenyen Gabriel,Sacramento Kings,PF,3/26/97,79568
Tony Snell,Detroit Pistons,SF,11/10/91,11392857
Shaquille Harrison,Chicago Bulls,PG,10/6/93,1620564
Yogi Ferrell,Sacramento Kings,PG,5/9/93,3150000
Mike Scott,Philadelphia 76ers,PF,7/16/88,4767000
Jarred Vanderbilt,Denver Nuggets,PF,4/3/99,1416852
Jeff Teague,Minnesota Timberwolves,PG,6/10/88,19000000
Zach Norvell,Los Angeles Lakers,SG,12/9/97,79568
Maxi Kleber,Dallas Mavericks,C,1/29/92,8000000
Matisse Thybulle,Philadelphia 76ers,SG,3/4/97,2582160
Ryan Arcidiacono,Chicago Bulls,PG,3/26/94,3000000
Wayne Ellington,New York Knicks,SG,11/29/87,8000000
Kawhi Leonard,Los Angeles Clippers,SF,6/29/91,32742000
Montrezl Harrell,Los Angeles Clippers,C,1/26/94,6000000
Jusuf Nurkic,Portland Trail Blazers,C,8/23/94,12000000
Matthew Dellavedova,Cleveland Cavaliers,PG,9/8/90,9607500
Cody Martin,Charlotte Hornets,SF,9/28/95,1173310
Zhaire Smith,Philadelphia 76ers,SG,6/4/99,3058800
RJ Barrett,New York Knicks,SG,6/14/00,7839960
Lonnie Walker,San Antonio Spurs,SG,12/14/98,2764200
Taurean Prince,Brooklyn Nets,SF,3/22/94,3481985
Elfrid Payton,New York Knicks,PG,2/22/94,8000000
Blake Griffin,Detroit Pistons,PF,3/16/89,34449964
Marko Guduric,Memphis Grizzlies,SG,3/8/95,2625000
Zach Collins,Portland Trail Blazers,C,11/19/97,4240200
Stanley Johnson,Toronto Raptors,PF,5/29/96,3623000
Boban Marjanovic,Dallas Mavericks,C,8/15/88,3500000
Josh Magette,Orlando Magic,PG,11/28/89,79568
Kyle Lowry,Toronto Raptors,PG,3/25/86,33296296
Darius Garland,Cleveland Cavaliers,PG,1/26/00,6400920
Frank Jackson,New Orleans Pelicans,PG,5/4/98,1618520
Dragan Bender,Milwaukee Bucks,PF,11/17/97,1678854
Kenrich Williams,New Orleans Pelicans,PF,12/2/94,1416852
Jerami Grant,Denver Nuggets,PF,3/12/94,9346153
Allonzo Trier,New York Knicks,PG,1/17/96,3551100
Pat Connaughton,Milwaukee Bucks,SG,1/6/93,1723050
Domantas Sabonis,Indiana Pacers,C,5/3/96,3529554
Dylan Windler,Cleveland Cavaliers,GF,9/22/96,2035800
Antonius Cleveland,Dallas Mavericks,SG,2/2/94,79568
Damion Lee,Golden State Warriors,SG,10/21/92,79568
Khem Birch,Orlando Magic,C,9/28/92,3000000
Aron Baynes,Phoenix Suns,C,12/9/86,5453280
Kemba Walker,Boston Celtics,PG,5/8/90,32742000
Nerlens Noel,Oklahoma City Thunder,C,4/10/94,1882867
Jabari Parker,Atlanta Hawks,PF,3/15/95,6500000
Carsen Edwards,Boston Celtics,SG,3/12/98,1228026
Anthony Tolliver,Portland Trail Blazers,PF,6/1/85,2564753
Lauri Markkanen,Chicago Bulls,PF,5/22/97,5300400
Kris Dunn,Chicago Bulls,PG,3/18/94,5348007
Reggie Bullock,New York Knicks,SF,3/16/91,4000000
Mike Conley,Utah Jazz,PG,10/11/87,32511623
Jaylen Nowell,Minnesota Timberwolves,SG,7/9/99,1400000
Gorgui Dieng,Minnesota Timberwolves,C,1/18/90,16229213
Patrick Patterson,Los Angeles Clippers,PF,3/14/89,3068660
Jarrett Allen,Brooklyn Nets,C,4/21/98,2376840
Bobby Portis,New York Knicks,C,2/10/95,15000000
Joel Embiid,Philadelphia 76ers,C,3/16/94,27504630
Jonas Valanciunas,Memphis Grizzlies,C,5/6/92,16000000
Chris Chiozza,Washington Wizards,PG,11/21/95,79568
Kent Bazemore,Portland Trail Blazers,SF,7/1/89,19269663
Tristan Thompson,Cleveland Cavaliers,C,3/13/91,18539130
Mason Plumlee,Denver Nuggets,C,3/5/90,14041096
Shabazz Napier,Minnesota Timberwolves,PG,7/14/91,1845301
Edmond Sumner,Indiana Pacers,PG,12/31/95,2000000
Alex Len,Atlanta Hawks,C,6/16/93,4160000
Josh Richardson,Philadelphia 76ers,SF,9/15/93,10116576
Bojan Bogdanovic,Utah Jazz,SF,4/18/89,17000000
Iman Shumpert,Brooklyn Nets,PG,6/26/90,2031676
Daryl Macon,Miami Heat,SG,11/29/95,79568
Rodney McGruder,Los Angeles Clippers,SG,7/29/91,4807693
Bam Adebayo,Miami Heat,C,7/18/97,3454080
Jacob Evans,Golden State Warriors,SG,6/18/97,1928280
Nigel Williams-Goss,Utah Jazz,PG,9/16/94,1500000
Terrance Ferguson,Oklahoma City Thunder,SF,5/17/98,2475840
Michael Carter-Williams,Orlando Magic,PG,10/10/91,2028594
Bol Bol,Denver Nuggets,C,11/16/99,79568
Willie Cauley-Stein,Golden State Warriors,C,8/18/93,2177483
Nikola Vucevic,Orlando Magic,C,10/24/90,28000000
Nicolas Batum,Charlotte Hornets,SF,12/14/88,25565217
Kyrie Irving,Brooklyn Nets,PG,3/23/92,31742000
Jeremy Lamb,Indiana Pacers,SF,5/30/92,10500000
